dataset,model,fold_id,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,sensitivity_narcolepsy,specificity_comparison,roc_auc
report_only,gradient_boosting,17,0.7,0.6904761904761905,0.6703296703296704,0.7098901098901099,0.6666666666666667,0.6904761904761905,0.6666666666666666,0.7142857142857143,0.7142857142857143
report_only,gradient_boosting,18,0.8888888888888888,0.75,0.8,0.874074074074074,0.9375,0.75,0.5,1.0,0.75
report_only,gradient_boosting,19,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.7142857142857143
report_only,gradient_boosting,20,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.7499999999999999
report_only,gradient_boosting,21,0.6,0.5625,0.5238095238095238,0.6380952380952382,0.5416666666666667,0.5625,0.5,0.625,0.59375
report_only,gradient_boosting,22,0.7,0.6904761904761905,0.6703296703296704,0.7098901098901099,0.6666666666666667,0.6904761904761905,0.6666666666666666,0.7142857142857143,0.8095238095238095
report_only,gradient_boosting,23,0.8888888888888888,0.75,0.8,0.874074074074074,0.9375,0.75,0.5,1.0,0.75
report_only,gradient_boosting,24,0.8888888888888888,0.9285714285714286,0.8615384615384616,0.8957264957264957,0.8333333333333333,0.9285714285714286,1.0,0.8571428571428571,0.9285714285714285
report_only,gradient_boosting,25,0.7777777777777778,0.5,0.4375,0.6805555555555556,0.3888888888888889,0.5,0.0,1.0,0.4285714285714286
report_only,gradient_boosting,26,0.6,0.5625,0.5238095238095238,0.6380952380952382,0.5416666666666667,0.5625,0.5,0.625,0.65625
report_only,gradient_boosting,27,0.4,0.38095238095238093,0.375,0.425,0.4,0.38095238095238093,0.3333333333333333,0.42857142857142855,0.42857142857142855
report_only,gradient_boosting,28,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.6428571428571428
report_only,gradient_boosting,29,0.8888888888888888,0.75,0.8,0.874074074074074,0.9375,0.75,0.5,1.0,0.75
